QuickDAQ Data,,,,,
01-01-0001 00:00:00,,,,,
Notes:,,,,,
Sample Rate:,1000.11596, Hz,,,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,,
X Axis Units,Samples,Samples,Samples,,
Y Axis Units,g,g,Hz,,
milliSeconds,Real,Real,Real,average,max
0.00E+00,0.072114263,0.022670168,0.00E+00,0.047392216,306.1384367
0.999884058,0.139360531,0.047607352,0.00E+00,0.093483942,
1.999768116,0.043925171,-0.014318001,0.00E+00,0.014803585,
2.999652174,0.002037766,0.053811819,0.00E+00,0.027924793,
3.999536232,0.068038732,-0.030187118,33519.55307,0.018925807,
4.99942029,0.158153259,0.073260437,33519.55307,0.115706848,
5.999304348,0.516233974,-0.224434661,33519.55307,0.145899656,
6.999188406,0.922541809,-0.045459652,33519.55307,0.438541079,
7.999072464,0.207172845,0.124208656,33519.55307,0.16569075,
8.998956522,-0.235814773,-0.069680937,33519.55307,-0.152747855,
9.99884058,0.321061305,0.050709586,33519.55307,0.185885445,
10.99872464,-0.072227473,-0.036868852,33519.55307,-0.054548162,
11.9986087,0.09113341,0.004891984,33519.55307,0.048012697,
12.99849275,0.079812489,5.97E-04,33519.55307,0.040204536,
13.99837681,0.14241718,0.064669637,33519.55307,0.103543408,
14.99826087,0.10539777,0.036868852,33519.55307,0.071133311,
15.99814493,0.161436326,0.061090136,33519.55307,0.111263231,
16.99802899,0.03849113,0.018971351,33519.55307,0.02873124,
17.99791304,0.024566397,0.019090668,33519.55307,0.021828533,
18.9977971,0.196984016,0.037226802,33519.55307,0.117105409,
19.99768116,0.082076673,0.021357684,33519.55307,0.051717179,
20.99756522,0.062717899,-0.007159,33519.55307,0.02777945,
21.99744928,-0.118869665,-0.182554509,33519.55307,-0.150712087,
22.99733333,0.131096259,0.027800785,33519.55307,0.079448522,
23.99721739,0.077095468,-0.00107385,33519.55307,0.038010809,
24.99710145,0.082189883,-0.006562417,33519.55307,0.037813733,
25.99698551,0.176719569,-0.004176084,33519.55307,0.086271743,
26.99686957,0.081623837,0.007039684,33519.55307,0.04433176,
27.99675362,0.06407641,0.032096185,33519.55307,0.048086297,
28.99663768,0.185776305,0.025772401,33519.55307,0.105774353,
29.99652174,0.074944494,0.019448618,33519.55307,0.047196556,
30.9964058,0.066567012,-0.016465701,33519.55307,0.025050656,
31.99628986,0.067019849,0.025533768,33519.55307,0.046276809,
32.99617391,0.089435272,0.007755584,33519.55307,0.048595428,
33.99605797,0.109133673,0.068010503,33519.55307,0.088572088,
34.99594203,0.106529862,0.037942702,33519.55307,0.072236282,
35.99582609,0.152945636,0.071828637,33519.55307,0.112387136,
36.99571014,0.009169946,-0.048800519,33519.55307,-0.019815287,
37.9955942,-0.028981556,-0.071232054,33519.55307,-0.050106805,
38.99547826,0.237965748,0.060374236,33519.55307,0.149169992,
39.99536232,0.047661075,-0.015630484,33519.55307,0.016015296,
40.99524638,0.070868962,0.026488301,33519.55307,0.048678632,
41.99513043,0.04132136,0.019209984,33519.55307,0.030265672,
42.99501449,0.139134113,0.036272268,33519.55307,0.087703191,
43.99489855,0.037811874,-0.0064431,33519.55307,0.015684387,
44.99478261,0.062831109,-0.017658868,33519.55307,0.022586121,
45.99466667,-0.094529686,-0.026011035,33519.55307,-0.06027036,
46.99455072,0.087284297,0.006920367,33519.55307,0.047102332,
47.99443478,0.038717548,0.012408934,33519.55307,0.025563241,
48.99431884,0.019585192,0.017778184,33519.55307,0.018681688,
49.9942029,0.100642983,0.013602101,33519.55307,0.057122542,
50.99408696,0.064529247,-0.009187384,33519.55307,0.027670931,
51.99397101,0.12520938,0.044863069,33519.55307,0.085036225,
52.99385507,-0.101548657,-0.147356091,33519.55307,-0.124452374,
