QuickDAQ Data,,,,,
01-01-0001 00:00:00,,,,,
Notes:,,,,,
Sample Rate:,5000, Hz,,,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,,
X Axis Units,Samples,Samples,Samples,,
Y Axis Units,g,g,Hz,,
milliSeconds,Real,Real,Real,average,max
0.00E+00,0.038830757,-0.021357684,0.00E+00,0.008736536,437.7296655
0.2,0.097925962,0.051425486,0.00E+00,0.074675724,
0.4,0.117737573,0.071112737,0.00E+00,0.094425155,
0.6,0.094982523,0.041044935,0.00E+00,0.068013729,
0.8,0.148190849,0.096765821,0.00E+00,0.122478335,
1,0.12237915,0.055840203,0.00E+00,0.089109677,
1.2,0.112077113,0.074811554,0.00E+00,0.093444333,
1.4,0.049019586,-0.008710117,0.00E+00,0.020154734,
1.6,0.063283945,0.007397634,0.00E+00,0.03534079,
1.8,0.140152995,0.083402354,0.00E+00,0.111777675,
2,0.104831724,0.057272003,0.00E+00,0.081051863,
2.2,0.06124618,0.011931667,0.00E+00,0.036588924,
2.4,0.054000791,-0.001312483,0.00E+00,0.026344154,
2.6,0.158266468,0.099271472,0.00E+00,0.12876897,
2.8,0.077095468,0.032692768,0.00E+00,0.054894118,
3,0.097359916,0.054408403,0.00E+00,0.075884159,
3.2,0.023094678,-0.024698551,0.00E+00,-0.000801937,
3.4,0.156341912,0.109055439,0.00E+00,0.132698675,
3.6,0.095095732,0.049158469,0.00E+00,0.072127101,
3.8,0.110945021,0.054647036,0.00E+00,0.082796028,
4,0.031472159,-0.023744018,0.00E+00,0.003864071,
4.2,0.129737749,0.093902221,0.00E+00,0.111819985,
4.4,0.104265678,0.054527719,0.00E+00,0.079396698,
4.6,0.10109582,0.056436786,0.00E+00,0.078766303,
4.8,0.014717197,-0.041522202,0.00E+00,-0.013402503,
5,0.130643422,0.087459121,0.00E+00,0.109051272,
5.2,0.115699807,0.05810722,0.00E+00,0.086903513,
5.4,0.087171088,0.028636001,0.00E+00,0.057903545,
5.6,0.051396979,-0.011931667,0.00E+00,0.019732656,
5.8,0.088869226,0.027442835,0.00E+00,0.05815603,
6,0.115699807,0.058226536,0.00E+00,0.086963172,
6.2,0.080604954,0.017181601,0.00E+00,0.048893277,
6.4,0.041547778,-0.022789484,0.00E+00,0.009379147,
6.6,0.05128377,-0.0064431,0.00E+00,0.022420335,
6.8,0.107888372,0.063715103,0.00E+00,0.085801738,
7,0.086038996,0.031738235,0.00E+00,0.058888615,
7.2,0.048113912,0.002028383,0.00E+00,0.025071148,
7.4,0.038717548,-0.017300918,0.00E+00,0.010708315,
7.6,0.114907343,0.067294603,0.00E+00,0.091100973,
7.8,0.076189795,0.024221285,0.00E+00,0.05020554,
8,0.073359565,0.016942968,0.00E+00,0.045151266,
8.2,0.036226946,-0.022670168,0.00E+00,0.006778389,
8.4,0.118869665,0.069442303,0.00E+00,0.094155984,
8.6,0.064755665,0.011812351,0.00E+00,0.038284008,
8.8,0.039283594,-0.011096451,0.00E+00,0.014093572,
9,0.051623397,-0.013482784,0.00E+00,0.019070307,
9.2,-0.105963816,-0.14377659,0.00E+00,-0.124870203,
9.4,-0.437327158,-0.513061692,0.00E+00,-0.475194425,
9.6,-0.058868787,-0.122418906,0.00E+00,-0.090643846,
9.8,-0.076982259,-0.13769144,0.00E+00,-0.10733685,
10,0.13517179,0.076601304,0.00E+00,0.105886547,
10.2,0.099737309,0.055482253,0.00E+00,0.077609781,
10.4,0.112077113,0.055840203,0.00E+00,0.083958658,
10.6,-9.06E-04,-0.040567669,0.00E+00,-0.020736671,
10.8,0.075284121,0.018255451,0.00E+00,0.046769786,
11,0.124756544,0.079106954,0.00E+00,0.101931749,
11.2,0.089095644,0.042715369,0.00E+00,0.065905506,
