QuickDAQ Data
01-01-0001 00:00:00
Notes:,,
Sample Rate:,6000, Hz,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,
X Axis Units,Samples,Samples,Samples,
Y Axis Units,g,g,Hz,
milliSeconds,Real,Real,Real,
14.8333333333, 0.0355476903,-0.0361529518, 0.00000E+000,
15.0000000000, 0.0423402426, 0.1057145718, 0.00000E+000,
15.1666666667, 0.0168681715,-0.0266076180, 0.00000E+000,
15.3333333333, 0.0196984016, 0.0069203670, 0.00000E+000,
15.5000000000, 0.0340759706,-0.0387779186, 0.00000E+000,
15.6666666667, 0.0316985773,-0.0144373174, 0.00000E+000,
15.8333333333, 0.0170945899, 0.1055952551, 0.00000E+000,
16.0000000000, 0.0297740208, 0.0063237836, 0.00000E+000,
16.1666666667, 0.0113209205, 0.0405676686, 0.00000E+000,
16.3333333333, 0.0507177237,-0.0458176022, 0.00000E+000,
16.5000000000, 0.0131322677, 0.0138407340, 0.00000E+000,
16.6666666667, 0.0195851924, 0.0979589881, 0.00000E+000,
16.8333333333, 0.0160757071,-0.0032215502, 0.00000E+000,
17.0000000000, 0.0245663974, 0.0591810695, 0.00000E+000,
17.1666666667, 0.0258116987,-0.0551243027, 0.00000E+000,
17.3333333333, 0.0144907782,-0.0268462513, 0.00000E+000,
17.5000000000, 0.0281890920, 0.1323221898, 0.00000E+000,
17.6666666667, 0.0295476024, 0.0076362670, 0.00000E+000,
17.8333333333, 0.0352080627, 0.0303064348, 0.00000E+000,
18.0000000000, 0.0255852803,-0.0408063020, 0.00000E+000,
18.1666666667, 0.0318117865, 0.0039374502, 0.00000E+000,
18.3333333333, 0.0523026526, 0.1132315222, 0.00000E+000,
18.5000000000, 0.0156228703, 0.0211190510, 0.00000E+000,
18.6666666667, 0.0315853681, 0.0439085355, 0.00000E+000,
18.8333333333, 0.0302268577,-0.0510675358, 0.00000E+000,
19.0000000000, 0.0543404183, 0.0158691174, 0.00000E+000,
19.1666666667, 0.0355476903, 0.1101292887, 0.00000E+000,
19.3333333333, 0.0229814686, 0.0063237836, 0.00000E+000,
19.5000000000, 0.0400760585, 0.0573913195, 0.00000E+000,
19.6666666667, 0.0213965397,-0.0294712181, 0.00000E+000,
19.8333333333, 0.0427930794,-0.0140793674, 0.00000E+000,
20.0000000000, 0.0107548744, 0.0959306047, 0.00000E+000,
20.1666666667, 0.0320382049, 0.0306643848, 0.00000E+000,
20.3333333333, 0.0324910418, 0.0441471688, 0.00000E+000,
20.5000000000, 0.0224154225, 0.0143180007, 0.00000E+000,
20.6666666667, 0.0352080627,-0.0134827840, 0.00000E+000,
20.8333333333, 0.0284155104,-0.0571526861, 0.00000E+000,
21.0000000000, 0.0450572635, 0.0822091873, 0.00000E+000,
21.1666666667, 0.0256984895, 0.0385392852, 0.00000E+000,
21.3333333333, 0.0264909539,-0.0132441506, 0.00000E+000,
21.5000000000, 0.0395100124, 0.0448630688, 0.00000E+000,
21.6666666667, 0.0426798702, 0.0497550524, 0.00000E+000,
21.8333333333, 0.0281890920,-0.0035795002, 0.00000E+000,
22.0000000000, 0.0098492008, 0.0224315344, 0.00000E+000,
22.1666666667, 0.0414345689,-0.0056078836, 0.00000E+000,
22.3333333333, 0.0352080627,-0.0758854037, 0.00000E+000,
22.5000000000, 0.0504913053, 0.0848341541, 0.00000E+000,
22.6666666667, 0.0215097489, 0.0088294338, 0.00000E+000,
22.8333333333, 0.0324910418, 0.0106191838, 0.00000E+000,
23.0000000000, 0.0332835062, 0.0070396837, 0.00000E+000,
23.1666666667, 0.0190191464,-0.0711127368, 0.00000E+000,
23.3333333333, 0.0230946778, 0.0906806711, 0.00000E+000,
23.5000000000, 0.0113209205,-7.15900E-004, 0.00000E+000,
23.6666666667, 0.0390571756, 0.0350791017, 0.00000E+000,
23.8333333333, 0.0251324434,-0.0304257515, 0.00000E+000,
24.0000000000, 0.0115473389,-0.0141986840, 0.00000E+000,
24.1666666667, 0.0323778326, 0.0422381021, 0.00000E+000,
24.3333333333, 0.0328306694, 0.0218349511, 0.00000E+000,
24.5000000000, 0.0393968032,-0.5174764085, 0.00000E+000,
