QuickDAQ Data,,,,,
01-01-0001 00:00:00,,,,,
Notes:,,,,,
Sample Rate:,6000, Hz,,,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,,
X Axis Units,Samples,Samples,Samples,,
Y Axis Units,g,g,Hz,,
milliSeconds,Real,Real,Real,average,max
0.00E+00,0.082189883,0.044982386,0.00E+00,0.063586134,466.1851091
0.166666667,0.057283858,0.024221285,0.00E+00,0.040752571,
0.333333333,0.009169946,-0.046056236,0.00E+00,-0.018443145,
0.5,0.133473652,0.084953471,0.00E+00,0.109213562,
0.666666667,0.086038996,0.044266486,0.00E+00,0.065152741,
0.833333333,0.070189707,0.036749535,0.00E+00,0.053469621,
1,0.041434569,0.0035795,0.00E+00,0.022507035,
1.166666667,0.020830494,-0.027800785,0.00E+00,-0.003485146,
1.333333333,0.131775514,0.097839671,0.00E+00,0.114807593,
1.5,0.080831372,0.044982386,0.00E+00,0.062906879,
1.666666667,0.094303268,0.052022069,0.00E+00,0.073162668,
1.833333333,0.064642456,0.039613135,0.00E+00,0.052127796,
2,0.022415423,-0.020045201,0.00E+00,0.001185111,
2.166666667,0.154756983,0.125043873,0.00E+00,0.139900428,
2.333333333,0.085699368,0.05953902,0.00E+00,0.072619194,
2.5,0.129398121,0.098078305,0.00E+00,0.113738213,
2.666666667,0.05558572,0.033647302,0.00E+00,0.044616511,
2.833333333,0.029321184,-0.018255451,0.00E+00,0.005532867,
3,0.160077816,0.133157407,0.00E+00,0.146617611,
3.166666667,0.102341121,0.081373971,0.00E+00,0.091857546,
3.333333333,0.106416652,0.07528882,0.00E+00,0.090852736,
3.5,0.016981381,-0.023744018,0.00E+00,-0.003381319,
3.666666667,0.010754874,-0.032692768,0.00E+00,-0.010968947,
3.833333333,0.183285702,0.148787891,0.00E+00,0.166036797,
4,0.100642983,0.076601304,0.00E+00,0.088622143,
4.166666667,0.094303268,0.052260703,0.00E+00,0.073281985,
4.333333333,0.065661339,0.035556368,0.00E+00,0.050608854,
4.5,0.015962498,-0.018971351,0.00E+00,-0.001504427,
4.666666667,0.121926314,0.087339804,0.00E+00,0.104633059,
4.833333333,0.065774548,0.051186853,0.00E+00,0.0584807,
5,0.079812489,0.039135869,0.00E+00,0.059474179,
5.166666667,0.064302828,0.027442835,0.00E+00,0.045872832,
5.333333333,0.059208414,0.0042954,0.00E+00,0.031751907,
5.5,0.166304322,0.130413123,0.00E+00,0.148358722,
5.666666667,0.094416477,0.063953736,0.00E+00,0.079185107,
5.833333333,0.093057966,0.051664119,0.00E+00,0.072361043,
6,0.063736782,0.025772401,0.00E+00,0.044754592,
6.166666667,0.034528807,-0.022312218,0.00E+00,0.006108295,
6.333333333,0.145926665,0.112157672,0.00E+00,0.129042169,
6.5,0.101322238,0.07063547,0.00E+00,0.085978854,
6.666666667,0.102001494,0.067652553,0.00E+00,0.084827023,
6.833333333,0.053547954,0.022550851,0.00E+00,0.038049402,
7,0.003056649,-0.021238368,0.00E+00,-0.00909086,
7.166666667,0.219739066,0.158691174,0.00E+00,0.18921512,
7.333333333,0.124643334,0.059300386,0.00E+00,0.09197186,
7.5,0.106077025,0.053811819,0.00E+00,0.079944422,
7.666666667,0.094303268,0.031499602,0.00E+00,0.062901435,
7.833333333,0.034981644,-0.015988434,0.00E+00,0.009496605,
8,0.154417355,0.105356622,0.00E+00,0.129886989,
8.166666667,0.086265414,0.048203936,0.00E+00,0.067234675,
8.333333333,0.081510627,0.043669902,0.00E+00,0.062590265,
8.5,0.036113736,-0.011096451,0.00E+00,0.012508643,
8.666666667,0.039510012,-0.008352167,0.00E+00,0.015578923,
8.833333333,0.163926928,0.120032573,0.00E+00,0.14197975,
