QuickDAQ Data
01-01-0001 00:00:00
Notes:,,
Sample Rate:,6000, Hz,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,
X Axis Units,Samples,Samples,Samples,
Y Axis Units,g,g,Hz,
Seconds,Real,Real,Real,
 0.00000E+000, 0.1106053930, 0.0842375708, 0.00000E+000,
 1.66667E-004, 0.0604537153, 0.0201645176, 0.00000E+000,
 3.33333E-004, 0.0723406818, 0.0369881685, 0.00000E+000,
 5.00000E-004,-0.0362269455,-0.0597776529, 0.00000E+000,
 6.66667E-004, 0.1255490080, 0.0708741034, 0.00000E+000,
 8.33333E-004, 0.1197753386, 0.0996294215, 0.00000E+000,
 0.0010000000, 0.0717746358, 0.0325734516, 0.00000E+000,
 0.0011666667, 0.0594348325, 0.0264883013, 0.00000E+000,
 0.0013333333,-0.0263777447,-0.0684877700, 0.00000E+000,
 0.0015000000, 0.0903409454, 0.0497550524, 0.00000E+000,
 0.0016666667, 0.0928315479, 0.0573913195, 0.00000E+000,
 0.0018333333, 0.0743784475, 0.0412835687, 0.00000E+000,
 0.0020000000, 0.0656613387, 0.0286360014, 0.00000E+000,
 0.0021666667,-0.0062265063,-0.0427153687, 0.00000E+000,
 0.0023333333, 0.1098129286, 0.0699195701, 0.00000E+000,
 0.0025000000, 0.0911334098, 0.0540504526, 0.00000E+000,
 0.0026666667, 0.0639632007, 0.0170622842, 0.00000E+000,
 0.0028333333, 0.0457365187, 0.0113350839, 0.00000E+000,
 0.0030000000,-0.0259249079,-0.0675332366, 0.00000E+000,
 0.0031666667, 0.1478512214, 0.0779137871, 0.00000E+000,
 0.0033333333, 0.0969070792, 0.0516641192, 0.00000E+000,
 0.0035000000, 0.0483403304, 8.35217E-004, 0.00000E+000,
 0.0036666667, 0.0236607238,-0.0029829168, 0.00000E+000,
 0.0038333333, 0.0075850167,-0.0387779186, 0.00000E+000,
 0.0040000000, 0.1035864223, 0.0535731859, 0.00000E+000,
 0.0041666667, 0.0989448449, 0.0666980199, 0.00000E+000,
 0.0043333333, 0.0886428073, 0.0566754194, 0.00000E+000,
 0.0045000000, 0.0674726860, 0.0387779186, 0.00000E+000,
 0.0046666667,-0.0139247322,-0.0579879028, 0.00000E+000,
 0.0048333333, 0.1297377486, 0.0764819870, 0.00000E+000,
 0.0050000000, 0.1081147905, 0.0737377036, 0.00000E+000,
 0.0051666667, 0.0622650626, 0.0215963177, 0.00000E+000,
 0.0053333333, 0.1102657654, 0.0624026197, 0.00000E+000,
 0.0055000000,-0.0127926401,-0.0539311360, 0.00000E+000,
 0.0056666667, 0.1272471461, 0.0822091873, 0.00000E+000,
 0.0058333333, 0.1057373972, 0.0548856693, 0.00000E+000,
 0.0060000000, 0.0933975939, 0.0515448025, 0.00000E+000,
 0.0061666667, 0.0820766734, 0.0383006519, 0.00000E+000,
 0.0063333333, 0.0726803094, 0.0227894844, 0.00000E+000,
 0.0065000000, 0.0349816443, 0.0128862006, 0.00000E+000,
 0.0066666667, 0.1009826106, 0.0226701678, 0.00000E+000,
 0.0068333333, 0.1339264892, 0.1249245561, 0.00000E+000,
 0.0070000000, 0.0715482174, 0.0356756851, 0.00000E+000,
 0.0071666667, 0.1210206398, 0.0721865868, 0.00000E+000,
 0.0073333333, 0.1072091169, 0.0727831702, 0.00000E+000,
 0.0075000000, 0.1271339369, 0.0939022212, 0.00000E+000,
 0.0076666667, 0.1081147905, 0.0775558371, 0.00000E+000,
 0.0078333333, 0.1185300373, 0.0751695037, 0.00000E+000,
 0.0080000000, 0.0091699456,-0.0221929011, 0.00000E+000,
 0.0081666667, 0.1149073428, 0.0600162862, 0.00000E+000,
 0.0083333333, 0.1832857024, 0.1559468909, 0.00000E+000,
