QuickDAQ Data,,,,,
01-01-0001 00:00:00,,,,,
Notes:,,,,,
Sample Rate:,3000, Hz,,,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,,
X Axis Units,Samples,Samples,Samples,,
Y Axis Units,g,g,Hz,,
milliSeconds,Real,Real,Real,average,max
0.00E+00,0.096454242,0.052380019,0.00E+00,0.074417131,381.1866038
0.333333333,0.155096611,0.116811022,0.00E+00,0.135953816,
0.666666667,0.100756192,0.043789219,0.00E+00,0.072272706,
1,0.135285,0.07242522,0.00E+00,0.10385511,
1.333333333,0.111624276,0.050470953,0.00E+00,0.081047614,
1.666666667,0.08535974,0.024101968,0.00E+00,0.054730854,
2,0.153058845,0.103566872,0.00E+00,0.128312858,
2.333333333,0.092944757,0.023266751,0.00E+00,0.058105754,
2.666666667,0.158153259,0.108339539,0.00E+00,0.133246399,
3,0.123398033,0.066101437,0.00E+00,0.094749735,
3.333333333,0.112077113,0.041283569,0.00E+00,0.076680341,
3.666666667,0.156115493,0.107385005,0.00E+00,0.131750249,
4,0.07686905,0.014198684,0.00E+00,0.045533867,
4.333333333,0.158266468,0.104282772,0.00E+00,0.13127462,
4.666666667,0.110152556,0.053334553,0.00E+00,0.081743554,
5,0.119322502,0.05989697,0.00E+00,0.089609736,
5.333333333,0.149096523,0.094021538,0.00E+00,0.12155903,
5.666666667,0.113548832,0.049874369,0.00E+00,0.081711601,
6,0.103699632,0.041522202,0.00E+00,0.072610917,
6.333333333,0.144907782,0.084834154,0.00E+00,0.114870968,
6.666666667,0.132681188,0.085311421,0.00E+00,0.108996304,
7,0.141285088,0.080777387,0.00E+00,0.111031237,
7.333333333,0.083208766,0.027084885,0.00E+00,0.055146825,
7.666666667,0.111850694,0.060732186,0.00E+00,0.08629144,
8,0.101322238,0.040686985,0.00E+00,0.071004612,
8.333333333,0.068944406,0.00751695,0.00E+00,0.038230678,
8.666666667,0.144002108,0.088413654,0.00E+00,0.116207881,
9,0.059208414,0.00536925,0.00E+00,0.032288832,
9.333333333,0.108114791,0.039732452,0.00E+00,0.073923621,
9.666666667,-0.304193133,-0.379069068,0.00E+00,-0.341631101,
10,-0.218380556,-0.292803114,0.00E+00,-0.255591835,
10.33333333,-0.080944581,-0.146401557,0.00E+00,-0.113673069,
10.66666667,-0.034755226,-0.114305372,0.00E+00,-0.074530299,
11,0.147851221,0.084237571,0.00E+00,0.116044396,
11.33333333,0.077435096,0.025295135,0.00E+00,0.051365115,
11.66666667,0.086605042,0.024459918,0.00E+00,0.05553248,
12,0.10245433,0.038181335,0.00E+00,0.070317833,
12.33333333,0.067699104,0.013840734,0.00E+00,0.040769919,
12.66666667,0.110945021,0.045101702,0.00E+00,0.078023361,
13,0.152039962,0.079464904,0.00E+00,0.115752433,
13.33333333,0.085699368,0.011215767,0.00E+00,0.048457568,
13.66666667,0.151473916,0.092470421,0.00E+00,0.121972169,
14,0.066453803,0.006920367,0.00E+00,0.036687085,
14.33333333,0.131209468,0.06562417,0.00E+00,0.098416819,
14.66666667,0.120681012,0.06240262,0.00E+00,0.091541816,
15,0.074604866,0.013005517,0.00E+00,0.043805192,
15.33333333,0.137662393,0.082328504,0.00E+00,0.109995448,
15.66666667,0.063397155,0.008471484,0.00E+00,0.035934319,
16,0.127813192,0.06956162,0.00E+00,0.098687406,
16.33333333,0.115133761,0.050470953,0.00E+00,0.082802357,
16.66666667,0.06837836,-0.001312483,0.00E+00,0.033532938,
17,0.136869929,0.073021804,0.00E+00,0.104945866,
17.33333333,0.078567188,0.009426017,0.00E+00,0.043996603,
17.66666667,0.144115318,0.071470687,0.00E+00,0.107793002,
18,0.155775866,0.092351105,0.00E+00,0.124063485,
