QuickDAQ Data,,,,,
01-01-0001 00:00:00,,,,,
Notes:,,,,,
Sample Rate:,3000, Hz,,,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,,
X Axis Units,Samples,Samples,Samples,,
Y Axis Units,g,g,Hz,,
milliSeconds,Real,Real,Real,average,max
0.00E+00,0.094303268,0.023624701,0.00E+00,0.058963984,370.7322914
0.333333333,0.154756983,0.085072788,0.00E+00,0.119914885,
0.666666667,0.121473477,0.048561886,0.00E+00,0.085017681,
1,0.083888021,0.026249668,0.00E+00,0.055068844,
1.333333333,0.14807764,0.07349907,0.00E+00,0.110788355,
1.666666667,0.084680485,0.010857817,0.00E+00,0.047769151,
2,0.132567979,0.06168672,0.00E+00,0.097127349,
2.333333333,0.094642895,0.025533768,0.00E+00,0.060088332,
2.666666667,0.09679387,0.023028118,0.00E+00,0.059910994,
3,0.131549096,0.054408403,0.00E+00,0.092978749,
3.333333333,0.084906904,0.006920367,0.00E+00,0.045913635,
3.666666667,0.09532215,0.030545068,0.00E+00,0.062933609,
4,0.063736782,-0.0021477,0.00E+00,0.030794541,
4.333333333,0.08683146,0.021477001,0.00E+00,0.054154231,
4.666666667,0.116152644,0.042238102,0.00E+00,0.079195373,
5,0.066000966,-0.002267017,0.00E+00,0.031866975,
5.333333333,0.131888724,0.052618653,0.00E+00,0.092253688,
5.666666667,0.084454067,0.016823651,0.00E+00,0.050638859,
6,0.093284385,0.008113534,0.00E+00,0.050698959,
6.333333333,0.117171527,0.049039152,0.00E+00,0.08310534,
6.666666667,0.041208151,-0.040448352,0.00E+00,0.000379899,
7,0.136417092,0.065504853,0.00E+00,0.100960972,
7.333333333,0.056604602,-0.010022601,0.00E+00,0.023291001,
7.666666667,0.073812402,-0.006323784,0.00E+00,0.033744309,
8,0.10392605,0.026249668,0.00E+00,0.065087859,
8.333333333,0.088416389,0.016227068,0.00E+00,0.052321728,
8.666666667,0.070755753,-0.019329301,0.00E+00,0.025713226,
9,0.143549272,0.087101171,0.00E+00,0.115325221,
9.333333333,-0.337250221,-0.438966038,0.00E+00,-0.388108129,
9.666666667,0.041094941,-0.053811819,0.00E+00,-0.006358439,
10,0.100642983,0.029590535,0.00E+00,0.065116759,
10.33333333,0.074718075,-0.014556634,0.00E+00,0.030080721,
10.66666667,0.10539777,0.039493819,0.00E+00,0.072445794,
11,0.018000264,-0.068726403,0.00E+00,-0.02536307,
11.33333333,0.137322765,0.054169769,0.00E+00,0.095746267,
11.66666667,0.020604075,-0.06920367,0.00E+00,-0.024299797,
12,0.136077464,0.05739132,0.00E+00,0.096734392,
12.33333333,0.045057264,-0.037226802,0.00E+00,0.003915231,
12.66666667,0.083095556,0.001312483,0.00E+00,0.04220402,
13,0.091246619,0.018971351,0.00E+00,0.055108985,
13.33333333,0.067585895,-0.00680105,0.00E+00,0.030392422,
13.66666667,0.060680134,-0.00823285,0.00E+00,0.026223642,
14,0.106077025,0.034601835,0.00E+00,0.07033943,
14.33333333,0.09679387,0.020641784,0.00E+00,0.058717827,
14.66666667,0.105850606,0.037942702,0.00E+00,0.071896654,
15,0.052755489,-0.014318001,0.00E+00,0.019218744,
15.33333333,0.103360004,0.033885935,0.00E+00,0.068622969,
15.66666667,0.087171088,0.023982651,0.00E+00,0.055576869,
16,0.037359038,-0.028755318,0.00E+00,0.00430186,
16.33333333,0.121473477,0.037107485,0.00E+00,0.079290481,
16.66666667,0.022981469,-0.060493553,0.00E+00,-0.018756042,
17,0.113548832,0.041164252,0.00E+00,0.077356542,
17.33333333,0.05977446,-0.023744018,0.00E+00,0.018015221,
17.66666667,0.067019849,-0.005488567,0.00E+00,0.030765641,
18,0.135398209,0.062163986,0.00E+00,0.098781098,
