QuickDAQ Data,,,,,
01-01-0001 00:00:00,,,,,
Notes:,,,,,
Sample Rate:,5000, Hz,,,
Measurement Type,Time Waveform,Time Waveform,Counter/Tach Freq Data,,
Channel Name,DT9837-A(00).Ain 0,DT9837-A(00).Ain 1,DT9837-A(00).Tach 0,,
X Axis Units,Samples,Samples,Samples,,
Y Axis Units,g,g,Hz,,
milliSeconds,Real,Real,Real,average,max
0.00E+00,4.53E-04,-0.029471218,0.00E+00,-0.014509191,421.8451017
0.2,0.134605744,0.105117988,0.00E+00,0.119861866,
0.4,0.081963464,0.050232319,0.00E+00,0.066097892,
0.6,0.106643071,0.06562417,0.00E+00,0.08613362,
0.8,0.030566485,-0.022431534,0.00E+00,0.004067475,
1,0.125549008,0.081851237,0.00E+00,0.103700123,
1.2,0.118530037,0.082805771,0.00E+00,0.100667904,
1.4,0.100869401,0.062641253,0.00E+00,0.081755327,
1.6,0.041434569,-0.001193167,0.00E+00,0.020120701,
1.8,0.133134025,0.081970554,0.00E+00,0.107552289,
2,0.13098305,0.094260171,0.00E+00,0.112621611,
2.2,0.108001581,0.056675419,0.00E+00,0.0823385,
2.4,0.050038469,-0.004176084,0.00E+00,0.022931193,
2.6,0.099963728,0.043669902,0.00E+00,0.071816815,
2.8,0.141737924,0.099510105,0.00E+00,0.120624015,
3,0.096680661,0.038300652,0.00E+00,0.067490656,
3.2,0.066227385,0.019209984,0.00E+00,0.042718685,
3.4,0.05694423,-8.35E-04,0.00E+00,0.028054507,
3.6,0.176832778,0.128623373,0.00E+00,0.152728075,
3.8,0.097359916,0.041760835,0.00E+00,0.069560376,
4,0.082189883,0.034243885,0.00E+00,0.058216884,
4.2,0.041547778,-0.010619184,0.00E+00,0.015464297,
4.4,0.161209908,0.117407606,0.00E+00,0.139308757,
4.6,0.082076673,0.040090402,0.00E+00,0.061083538,
4.8,0.091246619,0.044147169,0.00E+00,0.067696894,
5,0.028641929,-0.013721417,0.00E+00,0.007460256,
5.2,0.124643334,0.069084353,0.00E+00,0.096863844,
5.4,0.109020464,0.063237836,0.00E+00,0.08612915,
5.6,0.101888284,0.068965037,0.00E+00,0.085426661,
5.8,0.024113561,-0.021238368,0.00E+00,0.001437596,
6,0.116492272,0.069800253,0.00E+00,0.093146263,
6.2,0.10675628,0.06240262,0.00E+00,0.08457945,
6.4,0.053774372,0.023386068,0.00E+00,0.03858022,
6.6,0.071774636,0.036749535,0.00E+00,0.054262085,
6.8,0.044378008,0.00250565,0.00E+00,0.023441829,
7,0.070982171,0.017658868,0.00E+00,0.044320519,
7.2,0.132794397,0.094737438,0.00E+00,0.113765918,
7.4,0.062944318,0.013482784,0.00E+00,0.038213551,
7.6,0.087850343,0.044863069,0.00E+00,0.066356706,
7.8,0.082869138,0.040806302,0.00E+00,0.06183772,
8,0.068831197,0.030903018,0.00E+00,0.049867107,
8.2,0.060340506,0.018136134,0.00E+00,0.03923832,
8.4,0.031472159,-0.025772401,0.00E+00,0.002849879,
8.6,0.114567715,0.075766087,0.00E+00,0.095166901,
8.8,0.072453891,0.019090668,0.00E+00,0.045772279,
9,0.076189795,0.029948485,0.00E+00,0.05306914,
9.2,0.027962674,-0.018374768,0.00E+00,0.004793953,
9.4,0.134379326,0.087578438,0.00E+00,0.110978882,
9.6,0.096001406,0.050113002,0.00E+00,0.073057204,
9.8,0.094756104,0.043192635,0.00E+00,0.06897437,
10,0.029094766,-0.012528251,0.00E+00,0.008283258,
10.2,0.100642983,0.056556103,0.00E+00,0.078599543,
10.4,0.103586422,0.05989697,0.00E+00,0.081741696,
10.6,0.07551054,0.030425752,0.00E+00,0.052968146,
10.8,0.010528456,-0.046175552,0.00E+00,-0.017823548,
11,0.10675628,0.059419703,0.00E+00,0.083087992,
11.2,0.062491481,0.016585018,0.00E+00,0.039538249,
