Time,S1_raw,S2_raw,Avg_raw,S1_filtered,S2_filtered,Avg_filtered
1422.1666259765625,2.743398666381836,2.12908673286438,2.4362425804138184,3.434805393218994,3.9030697345733643,3.6689374446868896
1422.3333740234375,7.265087604522705,8.581254959106445,7.923171043395996,3.687638759613037,4.138800621032715,3.913219690322876
1422.5,3.4120123386383057,2.642864227294922,3.027438163757324,3.9482223987579346,4.349272727966309,4.148747444152832
1422.6666259765625,8.621673583984375,9.837898254394531,9.229785919189453,4.301356792449951,4.638820648193359,4.470088481903076
1422.8333740234375,1.5866270065307617,0.33468326926231384,0.960655152797699,4.793524742126465,5.075181007385254,4.934352874755859
1423.0,10.66306209564209,12.607237815856934,11.635149955749512,5.337876319885254,5.575737476348877,5.456806659698486
1423.1666259765625,2.1301443576812744,-0.06645938754081726,1.0318424701690674,5.750511169433594,5.945293426513672,5.847902297973633
1423.3333740234375,16.225709915161133,19.069190979003906,17.647449493408203,5.9636664390563965,6.1123504638671875,6.038008213043213
1423.5,2.9256653785705566,0.21357683837413788,1.5696210861206055,6.208532810211182,6.320876598358154,6.264704704284668
1423.6666259765625,21.22129249572754,26.49152374267578,23.856407165527344,6.895239353179932,7.006528377532959,6.950883865356445
1423.8333740234375,5.834462642669678,1.5864344835281372,3.7104485034942627,8.253479957580566,8.442314147949219,8.347896575927734
1424.0,44.549293518066406,51.66006088256836,48.10467529296875,10.214548110961914,10.600802421569824,10.407674789428711
1424.1666259765625,31.60019874572754,27.31671714782715,29.458457946777344,12.92326545715332,13.611205101013184,13.267234802246094
1424.3333740234375,136.5274658203125,163.267333984375,149.89739990234375,17.68409538269043,18.78251838684082,18.233306884765625
1424.5,228.44009399414062,229.3663787841797,228.90322875976562,28.20957374572754,30.186765670776367,29.19816780090332
1424.6666259765625,466.73040771484375,486.0564270019531,476.3934326171875,52.58538055419922,56.67340087890625,54.62938690185547
1424.8333740234375,322.1622619628906,246.36231994628906,284.2622985839844,103.43450164794922,110.76229858398438,107.09839630126953
1425.0,229.1652069091797,270.4922180175781,249.82870483398438,188.0680694580078,196.91514587402344,192.49160766601562
1425.1666259765625,222.42098999023438,253.67750549316406,238.04925537109375,288.75653076171875,293.4515686035156,291.10406494140625
1425.3333740234375,172.21112060546875,160.06976318359375,166.14044189453125,358.5628967285156,354.8039245605469,356.68341064453125
1425.5,231.72305297851562,253.4949493408203,242.6090087890625,355.0096130371094,347.1085510253906,351.05908203125
1425.6666259765625,97.20481872558594,103.48287200927734,100.34384155273438,283.17694091796875,281.8417053222656,282.50933837890625
1425.8333740234375,106.5872573852539,120.78116607666016,113.68421173095703,194.75393676757812,206.0281982421875,200.3910675048828
1426.0,61.269840240478516,60.923091888427734,61.096466064453125,139.6324462890625,158.9794464111328,149.3059539794922
1426.1666259765625,22.405120849609375,26.881568908691406,24.64334487915039,124.42090606689453,142.23939514160156,133.3301544189453
1426.3333740234375,-17.544031143188477,-21.699525833129883,-19.62177848815918,119.24319458007812,129.53359985351562,124.38839721679688
1426.5,-14.607044219970703,-19.814800262451172,-17.210922241210938,95.2424545288086,98.43370819091797,96.83808135986328
1426.6666259765625,-7.2603325843811035,-9.531015396118164,-8.395673751831055,49.76638412475586,49.446434020996094,49.60641098022461
1426.8333740234375,-36.69370651245117,-35.65874099731445,-36.17622375488281,2.070051431655884,0.8029879927635193,1.4365191459655762
1427.0,-10.902159690856934,-12.429695129394531,-11.66592788696289,-27.21071434020996,-29.026887893676758,-28.11880111694336
